14,D.J. Augustin,PG,31,"6' 0""",183 lbs,Texas,"$7,250,000"
5,Mo Bamba,C,20,"7' 0""",221 lbs,Texas,"$4,865,040"
24,Khem Birch,C,26,"6' 9""",233 lbs,UNLV,"$1,378,242"
13,Isaiah Briscoe,PG,22,"6' 3""",215 lbs,Kentucky,"$838,464"
3,Troy Caupain,PG,23,"6' 4""",210 lbs,Cincinnati,-
10,Evan Fournier,SG,26,"6' 7""",205 lbs,-,"$17,000,000"
35,Melvin Frazier Jr.,SG,22,"6' 6""",200 lbs,Tulane,"$1,050,000"
00,Aaron Gordon,PF,23,"6' 9""",220 lbs,Arizona,"$21,590,909"
22,Jerian Grant,PG,26,"6' 4""",205 lbs,Notre Dame,"$2,639,314"
1,Jonathan Isaac,PF,21,"6' 10""",210 lbs,Florida State,"$4,969,080"
25,Wesley Iwundu,SF,24,"6' 7""",195 lbs,Kansas State,"$1,378,242"
11,Amile Jefferson,PF,25,"6' 9""",222 lbs,Duke,-
2,Jarell Martin,PF,24,"6' 10""",239 lbs,LSU,"$2,416,222"
21,Timofey Mozgov,C,32,"7' 1""",275 lbs,-,"$16,000,000"
31,Terrence Ross,SG,27,"6' 7""",206 lbs,Washington,"$10,500,000"
17,Jonathon Simmons,SF,29,"6' 6""",195 lbs,Houston,"$6,000,000"
9,Nikola Vucevic,C,28,"7' 0""",260 lbs,USC,"$12,750,000"
